LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,QGDP,VOLIDX,IDX,Q,2014-Q2,98.9
CAN,QGDP,VOLIDX,IDX,Q,2014-Q3,99.9
CAN,QGDP,VOLIDX,IDX,Q,2014-Q4,100.6
CAN,QGDP,VOLIDX,IDX,Q,2015-Q1,100
CAN,QGDP,VOLIDX,IDX,Q,2015-Q2,99.7
CAN,QGDP,VOLIDX,IDX,Q,2015-Q3,100.1
CAN,QGDP,VOLIDX,IDX,Q,2015-Q4,100.2
CAN,QGDP,VOLIDX,IDX,Q,2016-Q1,100.7
CAN,QGDP,VOLIDX,IDX,Q,2016-Q2,100.2
CAN,QGDP,VOLIDX,IDX,Q,2016-Q3,101.3
CAN,QGDP,VOLIDX,IDX,Q,2016-Q4,101.8
CAN,QGDP,VOLIDX,IDX,Q,2017-Q1,102.9
CAN,QGDP,VOLIDX,IDX,Q,2017-Q2,104
CAN,QGDP,VOLIDX,IDX,Q,2017-Q3,104.4
CAN,QGDP,VOLIDX,IDX,Q,2017-Q4,105
CAN,QGDP,VOLIDX,IDX,Q,2018-Q1,105.9
CAN,QGDP,VOLIDX,IDX,Q,2018-Q2,106.7
CAN,QGDP,VOLIDX,IDX,Q,2018-Q3,107.4
CAN,QGDP,VOLIDX,IDX,Q,2018-Q4,107.8
CAN,QGDP,VOLIDX,IDX,Q,2019-Q1,107.9
CAN,QGDP,VOLIDX,IDX,Q,2019-Q2,109
CAN,QGDP,VOLIDX,IDX,Q,2019-Q3,109.3
CAN,QGDP,VOLIDX,IDX,Q,2019-Q4,109.7
