LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,CPI,TOT,AGRWTH,Q,2014-Q1,1.390025
CAN,CPI,TOT,AGRWTH,Q,2014-Q2,2.22403
CAN,CPI,TOT,AGRWTH,Q,2014-Q3,2.083897
CAN,CPI,TOT,AGRWTH,Q,2014-Q4,1.925685
CAN,CPI,TOT,AGRWTH,Q,2015-Q1,1.075269
CAN,CPI,TOT,AGRWTH,Q,2015-Q2,0.902096
CAN,CPI,TOT,AGRWTH,Q,2015-Q3,1.193001
CAN,CPI,TOT,AGRWTH,Q,2015-Q4,1.330495
CAN,CPI,TOT,AGRWTH,Q,2016-Q1,1.542553
CAN,CPI,TOT,AGRWTH,Q,2016-Q2,1.551407
CAN,CPI,TOT,AGRWTH,Q,2016-Q3,1.231333
CAN,CPI,TOT,AGRWTH,Q,2016-Q4,1.391807
CAN,CPI,TOT,AGRWTH,Q,2017-Q1,1.911996
CAN,CPI,TOT,AGRWTH,Q,2017-Q2,1.320559
CAN,CPI,TOT,AGRWTH,Q,2017-Q3,1.371636
CAN,CPI,TOT,AGRWTH,Q,2017-Q4,1.787102
CAN,CPI,TOT,AGRWTH,Q,2018-Q1,2.056027
CAN,CPI,TOT,AGRWTH,Q,2018-Q2,2.300025
CAN,CPI,TOT,AGRWTH,Q,2018-Q3,2.680623
CAN,CPI,TOT,AGRWTH,Q,2018-Q4,2.035623
CAN,CPI,TOT,AGRWTH,Q,2019-Q1,1.611685
CAN,CPI,TOT,AGRWTH,Q,2019-Q2,2.148389
CAN,CPI,TOT,AGRWTH,Q,2019-Q3,1.939334
CAN,CPI,TOT,AGRWTH,Q,2019-Q4,2.094763
